"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms
Physician,Yes,Within a day,yes,yes,yes,yes,15-25,Female,high school,"2,00,001 - 4,00,000",Emergency Services,Immediate,Emergency Services,"Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",other
Neurologist,Yes,Immediately,yes,yes,yes,yes,Other,Female,other,Not Specified,Emergency Services,Immediate,Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Male,high school,"Below 2,00,000",Family/Friend,Immediate,Doctor /Specialist,Speech / Confusion,"Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",medical_checkup
Physician,No,Within a day,yes,yes,yes,yes,15-25,Female,high school,"4,00,001 - 6,00,000",Doctor,Not answered,Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",calm_reassure
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,undergraduate,"2,00,001 - 4,00,000",Family/Friend,Delayed,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
Physician,No,Within a week,maybe,maybe,maybe,maybe,41-60,Male,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a week,maybe,maybe,maybe,maybe,41-60,Female,graduate,"4,00,001 - 6,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Family/Friend,Delayed,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",calm_reassure
Physician,No,Within a day,maybe,maybe,maybe,maybe,15-25,Female,undergraduate,"Above 8,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Male,undergraduate,"2,00,001 - 4,00,000",Doctor,Delayed,Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,Other,Male,graduate,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
Physician,No,Within a week,maybe,maybe,maybe,maybe,Other,Female,speciality,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a week,maybe,maybe,no,no,15-25,Male,graduate,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,No,Within a week,maybe,no,no,no,15-25,Female,high school,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a week,no,no,no,no,41-60,Female,graduate,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Within a day,yes,yes,yes,yes,41-60,Male,graduate,"4,00,001 - 6,00,000",Doctor,Delayed,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,maybe,maybe,maybe,Other,Male,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,Other,Male,other,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",emergency
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Doctor,Not answered,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",no_food_drink_sleep
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,other,"2,00,001 - 4,00,000",Emergency Services,Not answered,CT Scan /Diagnostic,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",emergency
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Female,high school,Not Specified,Emergency Services,Immediate,CT Scan /Diagnostic,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",other
Neurologist,Yes,Immediately,yes,yes,yes,yes,Other,Female,graduate,"Above 8,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
Neurologist,No,Immediately,maybe,no,maybe,maybe,26-40,Female,high school,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,Not answered
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"2,00,001 - 4,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",calm_reassure
"ENT (Ear, Nose, and Throat specialist)",No,Immediately,no,yes,yes,yes,Other,Female,graduate,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,Not answered
Orthopedic,Yes,Immediately,yes,yes,yes,yes,41-60,Male,graduate,"2,00,001 - 4,00,000",Emergency Services,After Checkup,CT Scan /Diagnostic,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",medical_checkup
Neurologist,No,Within a week,maybe,no,no,no,15-25,Male,high school,"Below 2,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a week,maybe,maybe,maybe,maybe,Other,Female,graduate,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Female,high school,"Below 2,00,000",Emergency Services,Immediate,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",other
Physician,No,Within a week,maybe,maybe,maybe,maybe,26-40,Female,graduate,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Male,undergraduate,"2,00,001 - 4,00,000",Emergency Services,After Checkup,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,Yes,Immediately,yes,yes,yes,yes,Other,Male,graduate,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Age / Family / Gender, Unaware",calm_reassure
Physician,No,Within a week,maybe,maybe,maybe,maybe,41-60,Female,undergraduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",No,I would not consult a specialist,maybe,no,no,no,26-40,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,Other,Male,high school,Not Specified,Emergency Services,Immediate,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Male,speciality,"2,00,001 - 4,00,000",Emergency Services,Immediate,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",emergency
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,yes,yes,yes,yes,Other,Female,other,Not Specified,Family/Friend,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Age / Family / Gender, Unaware",calm_reassure
Neurologist,No,Within a week,maybe,no,no,maybe,15-25,Male,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,No,Within a week,maybe,no,maybe,no,Other,Female,speciality,Not Specified,Family/Friend,Not answered,Hospital /Medical Centre,Unaware,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,yes,yes,yes,yes,15-25,Male,graduate,"Below 2,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",calm_reassure
Physician,No,Immediately,yes,yes,yes,yes,Other,Female,speciality,Not Specified,Emergency Services,Not answered,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache",Age / Family / Gender,calm_reassure
Physician,Yes,Immediately,yes,yes,yes,yes,Other,Male,graduate,Not Specified,Emergency Services,Delayed,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Age / Family / Gender, Unaware",medical_checkup
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Male,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",emergency
Physician,No,Within a week,maybe,maybe,no,no,41-60,Male,graduate,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Immediately,yes,yes,yes,yes,41-60,Female,other,"4,00,001 - 6,00,000",Emergency Services,Immediate,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",emergency
Orthopedic,No,Within a week,no,no,no,no,Other,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,Other,Male,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",emergency
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"4,00,001 - 6,00,000",Emergency Services,After Checkup,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",emergency
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Female,graduate,"Below 2,00,000",Emergency Services,Immediate,Other,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",emergency
Physician,No,Within a day,no,maybe,no,no,Other,Female,graduate,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Male,graduate,"6,00,001 - 8,00,000",Emergency Services,After Checkup,CT Scan /Diagnostic,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",emergency
Physician,No,Within a day,maybe,maybe,maybe,maybe,Other,Female,high school,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Immediately,maybe,no,maybe,maybe,15-25,Male,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,No,Within a week,maybe,maybe,no,no,15-25,Male,graduate,"Below 2,00,000",Emergency Services,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,other,"6,00,001 - 8,00,000",Not given,Immediate,Hospital /Medical Centre,"Paralysis / Weakness, Vision Problems, Balance / Dizziness","Diabetes / Obesity, Unaware",other
Physician,No,Within a week,no,maybe,maybe,maybe,15-25,Female,graduate,"2,00,001 - 4,00,000",Not given,Unaware,No Response,Unaware,Unaware,other
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",other
Physician,No,Other,no,maybe,maybe,maybe,15-25,Male,graduate,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",emergency
Orthopedic,No,Within a day,yes,yes,maybe,yes,Other,Female,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,No Response,Unaware,Unaware,rest_safety
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Male,graduate,"Below 2,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",emergency
Physician,Yes,Within a day,yes,yes,yes,yes,Other,Male,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",emergency
Orthopedic,Yes,Immediately,yes,yes,yes,yes,Other,Female,graduate,"Above 8,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",no_food_drink_sleep
Neurologist,No,Immediately,no,maybe,maybe,maybe,26-40,Female,high school,Not Specified,Doctor,Immediate,Doctor /Specialist,General Awareness,Other,other
"ENT (Ear, Nose, and Throat specialist)",No,Immediately,maybe,maybe,maybe,maybe,41-60,Male,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,No Response,Unaware,Unaware,No response
Neurologist,No,Immediately,maybe,maybe,maybe,maybe,41-60,Female,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Doctor /Specialist,Unaware,Unaware,Not answered
Orthopedic,Yes,Immediately,yes,yes,yes,yes,Other,Male,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Doctor /Specialist,"Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Neurologist,No,Within a day,maybe,maybe,maybe,maybe,41-60,Female,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,15-25,Female,graduate,Not Specified,Doctor,Immediate,Doctor /Specialist,Unaware,Unaware,No response
Neurologist,No,Within a day,maybe,maybe,maybe,maybe,Other,Female,graduate,"4,00,001 - 6,00,000",Family/Friend,Immediate,Hospital /Medical Centre,Unaware,Unaware,Not answered
"ENT (Ear, Nose, and Throat specialist)",No,Within a day,maybe,maybe,maybe,maybe,26-40,Female,graduate,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,No,Within a week,maybe,maybe,maybe,maybe,26-40,Female,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,Other,Female,graduate,"Above 8,00,000",Hospital,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,15-25,Female,high school,"4,00,001 - 6,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Male,graduate,"Above 8,00,000",Not given,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Orthopedic,Yes,Within a day,yes,yes,yes,yes,Other,Female,speciality,"2,00,001 - 4,00,000",Family/Friend,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,No,Immediately,maybe,maybe,maybe,maybe,15-25,Female,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,maybe,maybe,maybe,Other,Male,high school,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a day,yes,yes,yes,yes,41-60,Male,graduate,"4,00,001 - 6,00,000",Doctor,Not answered,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Orthopedic,No,Within a day,maybe,maybe,maybe,maybe,Other,Female,high school,Not Specified,Not given,Immediate,No Response,Unaware,Unaware,other
Physician,No,Within a day,maybe,maybe,maybe,maybe,15-25,Female,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,15-25,Male,high school,"Above 8,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,Yes,Immediately,yes,yes,yes,yes,Other,Female,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",no_food_drink_sleep
Neurologist,Yes,Immediately,yes,yes,yes,yes,Other,Female,graduate,Not Specified,Doctor,Immediate,Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness",Diabetes / Obesity,No response
Neurologist,No,Within a day,maybe,maybe,maybe,maybe,15-25,Female,high school,"Below 2,00,000",Hospital,Immediate,No Response,Unaware,Unaware,No response
Orthopedic,No,Immediately,yes,yes,yes,yes,41-60,Female,graduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Neurologist,No,Immediately,maybe,maybe,maybe,maybe,15-25,Male,undergraduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Neurologist,No,Immediately,yes,yes,yes,yes,15-25,Female,undergraduate,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",calm_reassure
Neurologist,No,Immediately,maybe,maybe,maybe,maybe,41-60,Male,high school,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Neurologist,No,Within a day,maybe,maybe,maybe,maybe,26-40,Male,high school,"4,00,001 - 6,00,000",Doctor,Immediate,Hospital /Medical Centre,Unaware,Unaware,No response
Neurologist,Yes,Within a day,yes,yes,yes,yes,41-60,Female,graduate,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",medical_checkup
Neurologist,No,Within a week,maybe,maybe,maybe,maybe,Other,Female,graduate,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Female,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Male,high school,Not Specified,Family/Friend,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response
Neurologist,No,Within a day,yes,yes,yes,yes,Other,Female,other,"4,00,001 - 6,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Neurologist,No,Immediately,yes,yes,yes,yes,Other,Female,undergraduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,No,Within a day,maybe,yes,maybe,no,Other,Male,graduate,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,No,Within a day,no,no,maybe,no,15-25,Male,high school,"Below 2,00,000",Not given,Not answered,No Response,Unaware,Unaware,Not answered
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Male,graduate,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness",Age / Family / Gender,emergency
Orthopedic,Yes,Within a day,yes,yes,yes,yes,Other,Male,undergraduate,"Above 8,00,000",Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Physician,No,Immediately,yes,yes,yes,yes,Other,Female,graduate,"4,00,001 - 6,00,000",Doctor,Not answered,Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",calm_reassure
Physician,Yes,Immediately,yes,yes,yes,yes,Other,Female,high school,Not Specified,Family/Friend,Delayed,Other,"Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Age / Family / Gender",No response
Physician,Yes,Within a day,yes,yes,yes,yes,15-25,Male,undergraduate,"Below 2,00,000",Doctor,Delayed,Doctor /Specialist,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",Not answered
Physician,Yes,Within a day,yes,yes,yes,yes,26-40,Female,other,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"6,00,001 - 8,00,000",Emergency Services,Immediate,Emergency Services,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender, Unaware",No response
Neurologist,No,Immediately,maybe,maybe,maybe,maybe,26-40,Female,speciality,"2,00,001 - 4,00,000",Not given,Not answered,No Response,General Awareness,Unaware,No response
Physician,Yes,Within a day,yes,yes,yes,yes,Other,Male,other,Not Specified,Family/Friend,Delayed,Other,"Speech / Confusion, Vision Problems, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",calm_reassure
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,high school,"2,00,001 - 4,00,000",Family/Friend,Immediate,Emergency Services,"Speech / Confusion, Paralysis / Weakness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",medical_checkup
Orthopedic,Yes,Immediately,yes,yes,yes,yes,26-40,Female,other,Not Specified,Family/Friend,Immediate,Other,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",medical_checkup
Physician,No,Within a day,yes,yes,yes,yes,Other,Female,speciality,Not Specified,Family/Friend,Immediate,Doctor /Specialist,Unaware,Unaware,medical_checkup
Physician,No,Immediately,maybe,maybe,maybe,maybe,41-60,Male,speciality,"4,00,001 - 6,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Within a day,yes,yes,yes,yes,26-40,Female,high school,"4,00,001 - 6,00,000",Family/Friend,Delayed,Other,"Speech / Confusion, Vision Problems, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",calm_reassure
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Male,graduate,"2,00,001 - 4,00,000",Not given,Delayed,Doctor /Specialist,Balance / Dizziness,Diabetes / Obesity,No response
